model,run_id,optimized,cv_roc_auc,test_roc_auc,hyperparameters
Logistic Regression,1,False,0.7489729250815875,0.75457166695669,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.0, 'max_iter': 100, 'n_jobs': None, 'penalty': 'deprecated', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Logistic Regression,2,True,0.7489448598395757,0.7545708789343507,"{'C': 1.1, 'l1_ratio': np.float64(0.6000000000000001), 'solver': 'saga'}"
CatBoost,2,True,0.746153156880513,0.7521858414512603,"{'border_count': 252, 'depth': 5, 'iterations': 267, 'l2_leaf_reg': np.float64(5.497541333697656), 'learning_rate': np.float64(0.12459356844052617), 'random_strength': np.float64(1.8533177315875884)}"
Logistic Regression (Top 7 Features),1,False,0.7456276399393704,0.7516618746262864,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.0, 'max_iter': 1000, 'n_jobs': None, 'penalty': 'deprecated', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
LightGBM,2,True,0.7440416147623177,0.7498161987499148,"{'colsample_bytree': np.float64(0.6558555380447055), 'learning_rate': np.float64(0.16081972614156514), 'max_depth': 3, 'min_child_samples': 13, 'n_estimators': 359, 'num_leaves': 63, 'reg_alpha': np.float64(9.394989415641891), 'reg_lambda': np.float64(8.948273504276488), 'subsample': np.float64(0.7989499894055425)}"
CatBoost (Top 7 Features),1,True,0.7426287539692144,0.7493077344219699,"{'iterations': 267, 'learning_rate': 0.12459356844052617, 'depth': 5, 'l2_leaf_reg': 5.497541333697656, 'random_strength': 1.8533177315875884, 'border_count': 252, 'selected_features': ['account_age_months', 'average_viewing_duration', 'content_downloads_per_month', 'viewing_hours_per_week', 'monthly_charges', 'support_tickets_per_month', 'subscription_type_premium']}"
XGBoost,2,True,0.7421820173658725,0.749048304995554,"{'colsample_bytree': np.float64(0.5499874579090014), 'gamma': np.float64(2.2962444598293357), 'learning_rate': np.float64(0.10677549723031632), 'max_depth': 5, 'min_child_weight': 6, 'n_estimators': 358, 'subsample': np.float64(0.9849549260809971)}"
Gradient Boosting,2,True,0.7412240647797249,0.7480722344475763,"{'learning_rate': np.float64(0.2464838142519019), 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 212, 'subsample': np.float64(0.8856351733429728)}"
LightGBM,1,False,0.742631297642155,0.7475028514574177,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': None, 'num_leaves': 31, 'objective': None, 'random_state': 42, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
CatBoost,1,False,0.7397156083366109,0.7451235030420795,"{'silent': True, 'allow_writing_files': False, 'random_state': 42}"
XGBoost,1,False,0.7343669255893651,0.7413711305810644,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': 'logloss', 'feature_types': None, 'feature_weights': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}"
AdaBoost,2,True,0.7330704001106784,0.7392492089382471,"{'learning_rate': np.float64(1.2586639612006325), 'n_estimators': 343}"
Gradient Boosting,1,False,0.7317043580365303,0.7364841505166093,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 42, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
AdaBoost,1,False,0.7249592584447412,0.7298829298989189,"{'estimator': None, 'learning_rate': 1.0, 'n_estimators': 50, 'random_state': 42}"
Random Forest,2,True,0.7224403009738104,0.7283952641932341,"{'n_estimators': 40, 'min_samples_split': 4, 'max_features': 'sqrt', 'max_depth': 13, 'criterion': 'gini'}"
Random Forest,1,False,0.7202029762873923,0.7261668957558158,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
